step,time,train_loss,val_loss,tokens_per_sec
0,0.10840892791748047,2.616943359375,,3627147.161901997
50,2.7263150215148926,2.298492431640625,,8214874.239980874
100,5.154805898666382,1.80035400390625,,8262655.953828812
150,7.580280780792236,1.7115478515625,,8234027.337450512
200,10.003894329071045,1.9853515625,,8280826.852159243
250,12.57954716682434,2.01507568359375,,8238592.930964893
300,14.997546195983887,1.946258544921875,,8250916.466959163
350,17.414924144744873,2.039794921875,,8244070.0890455125
400,19.8481662273407,2.11175537109375,,8311792.57484692
450,22.410379648208618,2.06439208984375,,8288650.77050342
500,24.820302963256836,2.010498046875,,8309489.327206772
550,27.239259719848633,1.996490478515625,,8308777.672529056
600,29.66720461845398,1.8966064453125,,8218681.3455920825
650,32.24439811706543,1.92791748046875,,8284528.8864867035
700,34.673985719680786,2.006988525390625,,8218517.526492822
750,37.11470627784729,1.906494140625,,8203637.2762968745
800,39.56242823600769,1.962982177734375,,8257030.062250614
850,42.190032720565796,1.910400390625,,8218968.044731046
900,44.64950156211853,1.81488037109375,,7222984.7315535005
950,47.08280301094055,1.930633544921875,,8243163.59033772
1000,49.51579689979553,1.932220458984375,,8245018.00543913
1050,52.108317375183105,1.908782958984375,,8205800.553585289
1100,54.54673147201538,2.022674560546875,,8155888.405898585
1150,56.98298692703247,1.89532470703125,,8212501.7013106
1200,59.426480531692505,1.9375,,8232835.358332335
1250,62.00412607192993,1.93634033203125,,8223311.934902274
1300,64.43543338775635,1.899932861328125,,8204371.846326042
1350,66.8638482093811,2.0955810546875,,8212174.562141491
1400,69.29571104049683,1.871673583984375,,8212706.176527121
1450,71.8768367767334,1.843231201171875,,8229836.386365337
1500,74.30439162254333,2.06707763671875,,8216388.472338327
1550,76.73299908638,1.87939453125,,8247491.857180005
1600,79.16845083236694,1.85113525390625,,8271358.066471075
1650,81.73535180091858,2.010406494140625,,8265098.983011436
1700,84.14857339859009,1.843231201171875,,8308484.67367912
1750,86.56619453430176,2.103607177734375,,8278000.560463774
1800,88.98241138458252,1.933685302734375,,8280868.429671731
1850,91.55443048477173,1.859283447265625,,8021182.612390207
1900,93.97493505477905,1.908721923828125,,8249760.859076517
1950,96.40186643600464,1.998077392578125,,8363976.538331634
