step,time,train_loss,val_loss,tokens_per_sec
0,30.30732250213623,10.923121452331543,,405.4465651263613
10,40.07525849342346,10.764552116394043,,68555.67437801945
20,41.868890047073364,10.75525951385498,,68010.44517490325
30,43.660393714904785,10.738276481628418,,68167.77223272977
40,45.45318579673767,10.724390983581543,,67877.97090470408
50,47.25021767616272,10.695266723632812,,67662.9424440503
60,49.04990291595459,10.669453620910645,,67666.76235840288
70,50.85316753387451,10.632797241210938,,67854.19997788205
80,52.65560531616211,10.580164909362793,,67872.96511508466
90,54.45894980430603,10.52483081817627,,67809.91968002525
100,56.26109051704407,10.484481811523438,,67621.8390446276
110,65.91802930831909,10.423319816589355,,67344.04202174782
120,67.74527359008789,10.349044799804688,,67018.02316391453
130,69.56083917617798,10.290974617004395,,67012.18496231998
140,71.38055086135864,10.236363410949707,,66967.169143414
150,73.19986367225647,10.04723834991455,,67090.08227123917
160,75.02011370658875,10.02961254119873,,67072.44575796735
170,76.84115958213806,9.955937385559082,,66798.18286822228
180,78.6609423160553,9.863105773925781,,66701.96464536001
190,80.48072290420532,9.764315605163574,,66705.41782060325
200,82.2986228466034,9.728320121765137,,67002.6020607942
210,92.01624846458435,9.552711486816406,,66878.88076549262
220,93.83656048774719,9.462603569030762,,66846.78630006575
230,95.65505385398865,9.396174430847168,,66789.52657605823
240,97.47483086585999,9.2686767578125,,66709.64844757157
250,99.29467725753784,9.211396217346191,,66690.39911285826
260,101.11380553245544,9.153278350830078,,66800.43387173286
270,102.9338390827179,8.994925498962402,,66727.61300279135
280,104.75328278541565,8.913422584533691,,66741.09277004837
290,106.57346892356873,8.8948392868042,,66666.59020172166
300,108.39295315742493,8.815176963806152,,66736.42608049349
310,118.1700291633606,8.677203178405762,,66668.74610578602
320,120.00233149528503,8.529074668884277,,66860.66120689991
330,121.8284661769867,8.567612648010254,,66632.28697867984
340,123.64856243133545,8.605257034301758,,66767.46318239937
350,125.46943807601929,8.455331802368164,,66763.13873599861
360,127.28949356079102,8.4048433303833,,66799.30835101398
370,129.12687230110168,8.360844612121582,,66679.26891847835
380,130.94781279563904,8.230998039245605,,66905.09964054787
390,132.76877760887146,8.243758201599121,,67010.87804161363
400,134.58932900428772,8.22964096069336,,67050.45676617634
410,144.3792245388031,8.118313789367676,,66614.28760944137
420,146.20667695999146,8.095513343811035,,66977.96046009037
430,148.02667474746704,8.127795219421387,,66991.71572627554
440,149.8467423915863,8.044110298156738,,66985.70798479878
450,151.66972184181213,7.935408115386963,,66962.99279304328
460,153.4968297481537,7.958675861358643,,66774.98905472636
470,155.31765222549438,7.98715353012085,,66709.9938285667
480,157.13820028305054,7.893247604370117,,66576.6839701914
490,158.95724892616272,7.884262561798096,,66783.81465212288
500,160.77661967277527,7.768596172332764,,66719.49320760873
510,170.53249669075012,7.7137627601623535,,66754.31860211196
520,172.35470247268677,7.71702241897583,,67018.98177184245
530,174.17195749282837,7.669200420379639,,66748.007583999
540,175.9910809993744,7.555344104766846,,66701.5330235929
550,177.81068325042725,7.5821661949157715,,66692.64285778986
560,179.62951946258545,7.5814642906188965,,66807.96717907238
570,181.4496555328369,7.600433349609375,,66624.79323664003
580,183.26878452301025,7.44970703125,,66699.89291182061
590,185.08802843093872,7.567905902862549,,66738.58650378564
600,186.90720987319946,7.507786273956299,,66831.53055225256
610,196.65152978897095,7.425457000732422,,67275.21247459539
620,198.48607635498047,7.550522327423096,,66979.26609710898
630,200.30211400985718,7.245956897735596,,66910.13740699823
640,202.1217806339264,7.411324977874756,,66819.05375513237
650,203.94065713882446,7.452581405639648,,66859.0999923463
660,205.7601282596588,7.428898334503174,,66803.89725031302
670,207.57968139648438,7.4325432777404785,,66849.47411346599
680,209.39924788475037,7.477807521820068,,66841.3246355084
690,211.2179856300354,7.245899677276611,,66993.97979246527
700,213.03751850128174,7.188741683959961,,66898.58641198109
710,222.76141715049744,7.188931941986084,,67294.62520499295
720,224.58114981651306,7.29097318649292,,67415.74609419964
730,226.39483380317688,7.184198379516602,,66954.29373594554
740,228.2122414112091,7.262416362762451,,66955.85939941929
750,230.03206133842468,7.262945175170898,,66931.16524227994
760,231.85110211372375,7.177058696746826,,66942.11885238982
770,233.67040848731995,7.086639881134033,,66946.72739459123
780,235.48991894721985,7.052248001098633,,66915.61032331106
790,237.30972623825073,7.243321895599365,,67008.87419553635
800,239.12886142730713,6.902285099029541,,66928.90541967236
810,248.84399700164795,6.965700149536133,,67136.75022828493
820,250.664808511734,7.041285991668701,,67051.15460781801
830,252.48298501968384,7.035543918609619,,67086.67647939353
840,254.30189180374146,7.113241195678711,,67091.30494753327
850,256.12131929397583,7.094531536102295,,67197.41058791011
860,257.94096660614014,6.732412338256836,,67128.53056168799
870,259.76312828063965,7.15997314453125,,67092.44032971095
880,261.58069229125977,7.003955364227295,,67151.88317515909
890,263.39984488487244,6.793666362762451,,67051.76523117033
900,265.21784472465515,6.921970367431641,,67184.88439653722
910,274.9589138031006,7.101353168487549,,66948.46663202744
920,276.7806875705719,6.819220066070557,,66955.68543319515
930,278.59822511672974,6.936441421508789,,66873.84770448644
940,280.4176206588745,6.849008083343506,,66861.615318354
950,282.2371029853821,6.852424144744873,,66826.33132057564
960,284.0564320087433,7.032421112060547,,66962.03578611482
970,285.8757846355438,6.92625617980957,,66844.4454773954
980,287.69495606422424,7.0934157371521,,66831.09725204618
990,289.5144829750061,6.830575466156006,,66882.95983617833
