step,time,train_loss,val_loss,tokens_per_sec
0,0.11844563484191895,2.41693115234375,,3319794.849544483
50,4.152668476104736,2.18060302734375,,5187321.71799888
100,7.991957664489746,2.0350341796875,,5190978.923649274
150,11.82703161239624,2.05426025390625,,5195541.321841362
200,15.680825471878052,2.20220947265625,,5186098.358465114
250,19.696072101593018,2.133209228515625,,5199259.30186752
300,23.536064624786377,2.1658935546875,,5186342.984207647
350,27.390178442001343,2.33355712890625,,5148152.9951024
400,31.25328755378723,2.33447265625,,5197440.594170609
450,35.30224633216858,2.3519287109375,,4868068.235364958
500,39.171223163604736,2.318359375,,5175195.228120381
550,43.02299404144287,2.3074951171875,,5187452.243748702
600,46.87117528915405,2.302734375,,5175195.228120381
650,50.89410614967346,2.3416748046875,,5178412.572063713
700,54.732447147369385,2.3192138671875,,5200423.287004834
750,58.573771476745605,2.2982177734375,,5207138.65875251
800,62.428022623062134,2.3035888671875,,5210297.092512795
850,66.45459699630737,2.297607421875,,5171446.709386112
900,70.28706955909729,2.30487060546875,,5184060.70768399
950,74.1003189086914,2.30859375,,5238929.645386106
1000,77.90928173065186,2.426727294921875,,5238863.079990089
1050,81.90591835975647,2.33660888671875,,5245578.054406493
1100,85.72038459777832,2.3101806640625,,5240311.259167469
1150,89.53739190101624,2.298583984375,,5234423.6614203965
1200,93.38188529014587,2.32763671875,,5225517.688040606
1250,97.43863415718079,2.320556640625,,5201489.36426598
1300,101.28815627098083,2.301513671875,,5044865.537942004
1350,105.12288117408752,2.318359375,,5200948.070423734
1400,108.95658731460571,2.300048828125,,5200013.373640302
1450,112.98066306114197,2.3189697265625,,5176283.477697571
1500,116.81772541999817,2.31494140625,,5181454.849997801
1550,120.65481066703796,2.2979736328125,,5198816.79637119
1600,124.50116753578186,2.299072265625,,5203885.532022844
1650,128.53286600112915,2.3040771484375,,5206514.005947533
1700,132.35948872566223,2.31494140625,,5209556.490876068
1750,136.19234466552734,2.314697265625,,5210033.743362944
1800,140.02476525306702,2.3060302734375,,5190929.909146704
1850,144.0364317893982,2.3255615234375,,5195901.42199063
1900,147.87446212768555,2.3046875,,5194903.085139758
1950,151.71649479866028,2.3104248046875,,5209194.495586011
