step,time,train_loss,val_loss,tokens_per_sec
0,0.5255105495452881,2.59869384765625,,748254.8579517202
50,1.648686170578003,2.056987762451172,,49365962.51501092
100,2.0494253635406494,2.0661163330078125,,49211298.01468043
150,2.450683116912842,1.7932891845703125,,49471097.29629852
200,2.8513267040252686,1.663055419921875,,49120426.54467477
250,3.40193772315979,1.6581497192382812,,49220109.8741793
300,3.806201696395874,1.619232177734375,,48893259.86197083
350,4.207720994949341,1.5166034698486328,,49111650.338395566
400,4.653020143508911,1.3843555450439453,,49133596.73679507
450,5.2039477825164795,1.5162734985351562,,49008036.182925746
500,5.604864120483398,1.414907455444336,,49268631.5657655
550,6.005957841873169,1.2676563262939453,,49032805.37709597
600,6.406963109970093,1.2274818420410156,,49157027.858007215
650,6.958398818969727,1.2271270751953125,,49268631.5657655
700,7.362250089645386,1.2760992050170898,,49170217.68719814
750,7.764894962310791,1.2980918884277344,,49132133.03336511
800,8.186888694763184,1.0747871398925781,,49488910.810298264
850,8.737404346466064,1.1980400085449219,,49127742.446278036
900,9.139061689376831,1.0220218896865845,,49139452.422727406
950,9.541215658187866,1.007340908050537,,49215703.54999851
1000,9.942904233932495,1.3014650344848633,,49354144.34760751
1050,10.493013620376587,0.8844852447509766,,49205425.194343336
1100,10.89480471611023,1.044065237045288,,49111650.338395566
1150,11.297235250473022,1.1556224822998047,,48883115.73146804
1200,11.717602252960205,0.8663263916969299,,50584819.091645196
1250,12.272498607635498,1.0593287944793701,,49041553.42444246
1300,12.676694631576538,1.1199188232421875,,48784791.36462863
1350,13.080605268478394,0.891729474067688,,49021146.16763762
1400,13.48678207397461,0.9832344055175781,,48978927.9738663
1450,14.040733098983765,0.9940698146820068,,49146773.99320579
1500,14.443336009979248,1.1582015752792358,,48983292.0007128
1550,14.845530986785889,0.9483393430709839,,49085340.525714286
1600,15.268106698989868,0.9397006630897522,,61247305.4688057
1650,15.82080864906311,0.9451822638511658,,51431921.965384975
1700,16.229764938354492,0.9275078773498535,,49086801.44242388
1750,16.632511615753174,1.0245063304901123,,49155562.75822604
1800,17.037567853927612,0.6936874985694885,,49404410.67800976
1850,17.593750715255737,0.9498816728591919,,48907758.78251587
1900,17.996893644332886,0.9236374497413635,,48948401.54520093
1950,18.399569511413574,0.7520482540130615,,49171683.660713755
